,category,clicks,likes,buys,4xx_errors,5xx_errors,complaints_count,average_dwelltime,source_attractiveness,date_of_registration
6675,information_source,1290127.0,0.0,0,72193,0,0,1.4829767741608555,-0.00248049656852332,2024-03-20 04:33:43.264147552
5283,information_source,4700518.0,400454.0,0,0,24559,6739,4.009016461859009,0.24157085458621427,2021-10-06 17:09:50.692844400
8707,information_source,3771598.0,509205.0,0,144510,154266,32569,0.0759707267841476,0.056906840939402056,2022-07-22 17:59:28.718331480
1533,ecom,4269431.0,0.0,38365,41011,11133,3501,4.163403282752494,-0.00014550957516423074,2024-08-10 07:17:20.951302154
2656,news,748488.0,58657.0,0,113715,104063,23675,4.930920142403547,0.1290340798867421,2021-05-09 02:23:14.997140896
718,information_source,1158302.0,491255.0,0,10359,0,0,0.026524973537185616,0.19846762285078132,2023-03-19 00:13:30.495612528
1594,news,4030732.0,20526.0,0,175689,0,2623,6.930482863022367,0.11258465826553027,2023-10-21 02:00:15.397529032
6093,ecom,4198220.0,3442473.0,198309,26644,0,0,-1.0,0.34995773399886754,2023-04-20 00:13:48.820585232
2607,information_source,935826.0,0.0,0,72255,15187,5258,3.0328121953366023,0.2597304911525777,2019-12-14 15:23:20.070519744
3290,information_source,72916.0,11100.0,0,305,1156,-,0.03096069560366543,-0.046225729044981276,2024-08-06 08:24:55.095268276
4512,ecom,424704.0,121591.0,0,9576,0,157,13.029108190928168,0.4036480965878255,2017-09-11 05:30:40.145756576
2024,social,2196818.0,173512.0,0,31240,0,1586,6.500610713275333,0.12598860426867275,2022-07-09 19:49:19.094232424
6568,information_source,663248.0,397732.0,0,4663,0,0,0.14200007303812237,0.3274293843055348,2021-10-06 14:57:24.520725120
6239,social,146400.0,2587.0,0,85,0,,-1.0,0.04055210927332581,2024-07-30 09:03:04.979824276
8968,news,269592.0,27109.0,0,30507,30498,6342,20.321653748779056,0.26677596868088005,2020-05-26 06:33:40.366382256
3249,ecom,2029176.0,962464.0,592313,21119,0,0,3.324099471846454,0.5163481921864377,2022-08-08 21:47:00.030297776
3222,ecom,4460372.0,0.0,4460372,43747,0,0,29.91459629441969,1.010907465774846,2020-08-24 12:25:40.732039264
5818,information_source,545128.0,0.0,0,40080,0,0,9.269493102652241,0.13768803180842298,2022-07-06 07:29:08.291023592
6913,ecom,4160351.0,884794.0,4076042,125809,0,1890,17.495770159322056,0.8099560895936201,2024-04-21 00:41:10.538295056
8494,social,35138.0,7008.0,0,0,0,453,19.622307412013328,0.2082492773312441,2023-02-15 03:30:13.403305232
8906,ecom,9929771.0,5446251.0,1883084,157670,13906,2752,2.0728237638110056,0.3662087383793957,2023-05-28 19:13:33.070012736
314,news,774827.0,75114.0,0,37442,0,1883,4.4618959395270075,0.2074309300630088,2022-05-26 10:09:15.138774848
6691,ecom,4268638.0,1593704.0,0,115159,0,1339,6.712461874421574,0.1323280354086045,2024-05-10 17:14:19.283478446
3844,information_source,973731.0,194431.0,0,44901,4332,294,0.3704516206933892,0.42762155644663674,2013-08-29 18:31:07.850173184
6836,information_source,2101492.0,84353.0,0,159818,0,1702,11.650318884914938,0.131319355210771,2022-10-12 16:03:12.182097344
7983,social,1491240.0,0.0,0,24696,0,0,211.21806640291317,0.5075901850667155,2014-12-15 07:01:51.912582080
9917,ecom,7806440.0,0.0,5686679,257723,133975,30282,1.4333969594075058,0.4665501167183117,2024-04-07 23:07:59.579880474
510,news,310403.0,0.0,0,51324,20756,4326,10.515094766727778,0.1973926321948759,2020-01-14 15:16:35.586799520
5900,ecom,23942091.0,,0,0,0,126,8.204723639316645,0.34914540469281474,2023-12-04 03:10:42.722982452
2284,news,615495.0,8002.0,0,33776,0,0,12.902350172865928,0.04585929233708402,2024-07-12 11:13:24.842156922
7198,information_source,2164831.0,51526.0,0,94808,0,801,2.5031896905622646,0.18798870219437316,2022-08-26 02:19:27.376812120
4917,ecom,3630891.0,0.0,1855136,66355,23284,5250,5.206212611865205,0.6005023202682176,2021-08-08 23:08:08.886027168
8273,porn,14969.0,201.0,0,1466,0,0,21.622868035031345,0.21975419934609244,2021-09-24 06:56:59.258832800
8290,information_source,13966.0,3.0,0,2,0,0,0.7126833279232394,-0.0732277918911404,2024-09-29 09:04:57.887018293
9918,information_source,1413335.0,124112.0,0,19302,10344,2493,0.3031264138281034,0.035203533507689455,2024-05-29 04:17:42.692460850
2190,ecom,2039305.0,,1456888,0,0,648,7.877592613676169,0.917243396143133,2023-05-05 16:14:45.872667608
7100,ecom,1281746.0,944968.0,0,13767,14193,2945,10.967293330363894,0.4355965399409433,2020-12-19 21:45:15.925302336
9217,information_source,4929175.0,0.0,0,200511,14610,6960,4.417150506929921,0.032430865272799016,2023-06-05 01:39:11.565124624
9881,ecom,2362573.0,,1159738,84680,25365,3728,4.12491975917215,0.4586936164004544,2023-03-12 23:16:33.166219976
2562,information_source,1566591.0,79752.0,0,0,0,1148,1.767095516395347,0.0761059234503782,2023-06-24 01:39:39.470820992
5488,information_source,59690.0,2251.0,0,164,0,-,1.1872752321958737,-0.08293983013212126,2024-09-12 07:58:28.321472833
829,information_source,261645.0,32731.0,0,19637,0,0,6.176892202908075,0.15222635534952886,2023-10-14 01:48:18.830932192
8925,information_source,381515.0,167950.0,0,5050,2190,1260,4.580718145917192,0.2727151103975938,2022-03-04 15:16:01.304606688
8224,information_source,1729292.0,189119.0,0,107109,39982,8103,12.487077350485873,0.04365077372871043,2023-09-11 15:10:04.707072836
2243,ecom,3832189.0,1238556.0,0,0,76024,,0.7815520379234985,0.41399293210228966,2014-10-28 11:50:34.633516928
7232,ecom,30049665.0,13523833.0,0,0,516210,104663,3.318323859529205,0.000910498822489691,2024-02-05 10:34:44.137174732
2919,information_source,417530.0,0.0,0,21248,9122,2351,3.4278901372886112,-0.005634504214617371,2023-11-09 16:49:12.951108716
2614,information_source,1135686.0,149178.0,0,137668,10220,3349,4.052222044641192,0.18159180115411855,2022-07-31 21:43:41.496111816
8780,information_source,297112.0,25923.0,0,3653,0,0,1.6632384287241864,0.19728810211740355,2021-04-25 18:08:54.022136448
3665,information_source,84247.0,10040.0,0,0,2919,0,4.465978463006798,0.1333315998228032,2023-01-13 12:32:21.422223640
9644,information_source,,,0,128671,7236,4075,16.234957450132686,0.2966826114991454,2020-11-01 07:27:39.202928704
8321,information_source,313518.0,84474.0,0,7517,8844,2317,-1.0,0.008868556067284233,2024-07-15 11:14:42.754224245
6734,ecom,8884801.0,8884801.0,583658,0,0,159,4.587766400023963,0.355639728294724,2024-01-31 01:40:02.039638124
2304,porn,232747.0,84492.0,0,27493,0,960,3.999036056280244,0.45187867163712386,2012-12-01 06:00:09.247592192
68,information_source,1223889.0,284841.0,0,75109,10888,,1.879498353455015,0.13199651277435565,2023-11-13 11:59:27.775327128
2331,information_source,1045378.0,350973.0,0,51292,0,194,7.222385141545714,0.1556242308526506,2023-10-06 02:52:52.889678040
5195,porn,89742.0,13592.0,0,0,23485,5096,24.527984260812545,0.11209950042406555,2022-03-14 12:06:42.478178032
7953,information_source,66658.0,5045.0,0,117,0,0,-1.0,0.02469285417961537,2024-06-06 14:35:40.968787784
6993,information_source,2524663.0,278218.0,0,135352,0,799,5.892338779558587,0.10598434822073248,2023-07-16 08:33:30.931209256
9938,news,198253.0,0.0,0,28962,14875,1774,3.4806566317388836,-0.054186454014066285,2024-05-08 21:19:43.063182858
2127,information_source,1004355.0,339302.0,0,27463,0,807,1.408087065269662,0.2605028103799172,2022-03-19 09:02:18.012369872
4539,ecom,2456271.0,777036.0,941889,24898,6001,397,11.702922806410355,0.6855814570464578,2018-09-03 08:32:56.389659648
9379,information_source,9011.0,9.0,0,62,38,0,2.4309301190931953,-0.0878190345715632,2024-09-05 05:41:10.633295701
1565,information_source,2990875.0,427917.0,0,120479,0,2728,0.21993041298477684,0.1885770902646026,2022-10-15 12:48:52.963235872
6314,ecom,8739990.0,1176918.0,0,60115,0,1115,20.970215194820913,0.3712330460965469,2020-02-11 02:47:53.255050208
5293,information_source,592621.0,290095.0,0,11876,0,0,1.7195432704267997,0.2057287712362283,2023-11-12 11:28:07.790131992
1492,ecom,9775251.0,6988355.0,9775251,129547,126429,27184,5.303119892563392,0.9729280909204718,2022-07-08 20:56:17.632748808
6139,information_source,1111065.0,0.0,0,90014,0,,4.163574250187993,0.28704968453815133,2018-03-24 23:43:13.492012352
6774,information_source,2254580.0,401203.0,0,0,39894,8444,1.7655658967841936,0.14920721242716262,2021-10-09 22:18:14.854441424
7744,porn,15899.0,650.0,0,0,0,1841,18.34219757073409,-0.009695275915122571,2024-08-19 11:49:28.815093903
9856,information_source,476504.0,96159.0,0,38715,21201,4898,15.972178435945477,0.39621554918194835,2018-01-31 21:33:36.087881984
3110,information_source,818152.0,0.0,0,27478,36180,6894,3.1160693651560623,0.2112282593371361,2019-01-19 06:04:28.003095584
1350,information_source,938631.0,158726.0,0,0,0,359,7.502737549813832,0.05662414745785943,2024-02-28 18:12:18.441377444
5945,ecom,1370012.0,0.0,0,15066,5661,497,26.494558458264308,0.08473831371012437,2024-04-10 00:03:29.912048388
2460,information_source,193347.0,0.0,0,14364,3690,1897,2.048125773147854,0.1734073368690856,2021-06-11 22:42:48.811048880
6540,news,345616.0,0.0,0,28439,38488,9483,-1.0,0.04950602062175712,2022-03-25 11:47:44.531712000
8115,ecom,6827120.0,2594931.0,5549549,144232,0,1778,3.394438958066504,0.8922637568387233,2021-09-22 09:33:16.655812928
3928,information_source,135635.0,49063.0,0,5921,0,0,1.2699840666199333,0.529666730047912,2012-03-08 10:41:41.745230656
3862,ecom,20834066.0,4230491.0,0,115998,0,1926,3.074097233557897,0.15053610202758658,2022-12-24 18:22:09.673788688
4157,ecom,4007904.0,0.0,3781164,151354,0,2406,3.5524497884009953,0.7334805400665899,2023-07-27 03:23:26.849137032
4772,information_source,288537.0,43861.0,0,26323,14835,4496,0.5073520451437276,0.09481686461874467,2023-12-12 01:49:38.941773248
354,ecom,1994142.0,0.0,0,33269,6060,1108,7.515658659317881,0.006100762886928769,2024-08-10 22:31:07.778808765
7288,information_source,3122434.0,2012148.0,0,48574,6917,330,6.9091806493277375,0.4037048509869023,2021-01-16 12:38:22.014274208
956,ecom,2485675.0,1214909.0,662934,0,3248,612,-1.0,0.36304958031172374,2024-02-28 08:05:49.976020872
9280,information_source,4622929.0,918126.0,0,230789,258525,53786,2.7113112956731955,0.025175905831654258,2022-07-12 22:44:06.994130920
2904,ecom,1879120.0,0.0,487345,0,0,0,-1.0,0.38791703788781473,2022-05-13 11:59:09.048666944
457,ecom,122139.0,6126.0,69964,0,0,-,5.533279869011118,0.42468768327180884,2024-03-18 16:52:07.453921796
4744,ecom,162011.0,118543.0,0,0,900,0,0.7996473587450558,0.31963742439935205,2023-09-23 03:58:20.675662636
1034,information_source,1132662.0,80407.0,0,39390,0,-,12.827992276887525,0.002765421111210125,2024-06-14 21:15:09.046276426
7419,ecom,3406278.0,888211.0,0,133825,0,3785,1.9832739698065065,0.23181697790512182,2022-08-21 09:18:28.172828320
4649,ecom,157573.0,1758.0,2267,207,0,0,2.3771512925832052,-0.0947836725486084,2024-09-22 00:18:23.132010021
7343,information_source,2507603.0,244146.0,0,146675,20836,5793,-1.0,0.10199273740700232,2023-07-04 23:54:33.066652960
4966,ecom,8048604.0,0.0,6834598,195626,0,1384,1.6356656803854766,0.7920880665477101,2021-07-22 05:14:05.438241136
70,ecom,1540322.0,0.0,1105882,81372,0,0,5.346162510965244,0.7799881513513545,2018-12-11 00:32:33.590742400
5641,information_source,1715097.0,16562.0,0,82901,0,542,1.0713568720975082,-0.03120269380389632,2024-05-07 16:39:11.387063084
7439,ecom,2073001.0,0.0,525254,36786,0,1427,12.371972276819905,0.28655321747920964,2023-09-10 09:20:55.791102676
710,news,39554.0,,0,5404,0,0,-1.0,0.32832512496790317,2017-03-21 05:47:59.566796672
245,information_source,513073.0,12541.0,0,2186,0,0,2.889778819178677,0.2892676034396732,2017-07-20 02:26:01.454847168
5956,information_source,2208625.0,0.0,0,123689,75843,17446,5.487107412652241,-0.11894879638201679,2024-06-27 17:49:58.453983520
3024,information_source,771589.0,268123.0,0,20117,0,0,12.588851101897902,0.3197501122121455,2022-05-29 19:51:09.504663632
3789,ecom,4354179.0,879907.0,0,156206,0,638,3.1133198848265233,0.17305690205130872,2023-02-18 02:08:47.905447416
694,ecom,2249776.0,507240.0,117470,15416,3943,2833,13.003327758068876,0.13255006924635057,2024-08-06 08:51:55.955287548
3185,ecom,2140320.0,230541.0,0,2988,0,0,3.717744870544351,0.0009104984891962556,2024-08-24 16:48:49.109637537
26,ecom,5247656.0,70178.0,3657396,274551,117942,25278,1.8010223809677075,0.48653873030380673,2024-01-26 01:54:56.642321408
9854,ecom,9292761.0,1296023.0,4081538,72169,168303,34241,10.641969387415761,0.5991786185702803,2020-12-16 02:03:20.852843360
5870,information_source,364532.0,0.0,0,17607,34642,,1.298458191615171,0.14244064855388128,2022-02-28 08:02:37.166963616
8833,ecom,147900.0,27060.0,15164,3064,0,184,1.7105596120941526,0.14653359165635063,2024-05-08 14:47:47.612985808
2059,news,260256.0,,0,53221,4932,,0.802662441496308,0.1122986691011153,2023-08-18 22:28:05.564194616
766,information_source,4229448.0,0.0,0,81811,0,1017,6.917423699850626,0.012939790473596434,2024-05-10 12:00:36.173510848
4963,porn,156061.0,5176.0,0,7922,0,0,6.299076444372849,0.010035935065019562,2024-07-30 05:27:41.005644640
9537,information_source,1185664.0,0.0,0,36451,41799,7778,5.223182146701598,0.1602804964726425,2022-05-05 20:44:48.383245984
3879,news,473366.0,10425.0,0,29174,64728,12470,12.227028274380604,0.23589577266123285,2020-09-10 11:47:27.763387664
3658,information_source,4729180.0,0.0,0,300552,0,4020,10.254767060122694,0.18613652881978898,2022-09-27 17:23:08.453712008
1063,ecom,4756527.0,1000351.0,364540,0,0,0,8.512318760059843,0.13169790762752465,2024-05-31 23:31:07.362913324
4852,information_source,46672.0,203.0,0,124,0,230,1.0623891771233838,-0.12750041108204024,2024-09-12 02:43:39.825801057
6764,ecom,8158581.0,0.0,451244,0,37734,8824,0.6463167804811568,0.10439057090653066,2024-04-02 10:23:11.232854346
6586,information_source,152161.0,0.0,0,1929,5099,-,3.721972258313551,0.016965696820850154,2024-05-16 13:51:24.486078878
7866,ecom,3987490.0,,0,0,0,1028,0.018627232780770945,-0.09384659665092537,2024-08-22 17:32:51.672946145
8318,information_source,1467977.0,309932.0,0,0,86185,19290,9.71150298490525,0.1469167108586122,2022-12-12 03:13:34.276724280
3633,information_source,1322332.0,92210.0,0,7965,0,614,13.458610449013449,-0.02897739887460358,2024-08-07 19:33:30.590828855
5360,information_source,489486.0,124419.0,0,33286,0,1335,3.037809853846978,0.24016645448589968,2021-09-18 17:17:02.103211312
3001,information_source,,81219.0,0,0,0,2015,4.713061120347964,0.32031115817679273,2023-04-06 01:13:00.035974304
2960,information_source,1039106.0,389701.0,0,31516,0,302,3.5452566646038424,0.25062094488171704,2022-04-27 18:31:43.494743280
9501,information_source,1764922.0,0.0,0,0,0,503,2.561361355550566,0.08196600217585068,2023-05-18 22:07:43.454363448
9936,news,36482.0,975.0,0,4320,0,175,5.594430467399506,0.21051319557069242,2021-05-13 04:59:21.638916608
1049,ecom,22192.0,1360.0,2656,110,66,,1.7298731730796515,-0.0033911220848852237,2024-08-28 12:15:09.248920870
1367,information_source,2894170.0,0.0,0,334329,41028,13004,2.6213724654750314,0.09989989031836899,2022-06-30 04:37:41.573084056
1571,information_source,1903745.0,277351.0,0,135065,4156,1812,2.199466906952094,0.09123782859212239,2023-12-07 21:42:06.594458788
4342,information_source,1615936.0,0.0,0,0,0,,0.3550372327116358,0.2314021193335309,2020-04-27 10:43:55.573380208
8215,porn,111098.0,21629.0,0,19119,23267,5137,11.200583575431407,-0.06150491318637403,2023-10-17 20:10:35.581408848
5503,information_source,2845687.0,219292.0,0,416234,83649,21519,6.564598108494042,0.23236947195863017,2016-08-25 08:02:25.238847712
8541,social,55189.0,4631.0,0,0,0,665,15.980265199822874,0.017093618466299105,2024-07-20 15:22:24.002727553
661,information_source,261899.0,30203.0,0,0,1175,0,1.2643496649299804,0.0034296261586479054,2024-07-26 14:57:16.863030199
9176,news,2688475.0,40817.0,0,502522,0,6676,2.105253662097982,0.28143574918172054,2018-02-21 23:18:16.302837728
7050,information_source,985506.0,155497.0,0,27769,44207,8381,1.7424000155619976,0.0417653490026523,2024-02-18 04:06:40.087396156
9209,information_source,882681.0,69991.0,0,34779,0,0,1.9377313178480968,-0.01798546269144092,2024-07-11 08:57:15.772653125
5551,porn,165233.0,15586.0,0,0,50300,9432,1.2213246244449263,-0.09211098868133256,2022-12-10 07:35:52.421226808
6702,porn,441168.0,69784.0,0,63346,110282,22788,0.6284614768628707,-0.17142340998820463,2023-06-11 12:24:14.197783112
7699,information_source,15583.0,2999.0,0,0,0,0,12.712206982733731,0.020189936398192068,2024-07-13 19:44:44.255159635
9662,ecom,4406728.0,816411.0,2515384,46458,0,0,0.05883171572439633,0.4247063363783,2024-05-05 15:04:31.457507704
4396,ecom,2908821.0,464895.0,542375,32504,63965,NaN,4.212433056016136,0.527366547483735,2012-07-02 13:01:23.622281600
1453,porn,8365.0,19.0,0,0,0,0,8.882418658032899,-0.09052883862405602,2024-09-24 13:10:21.134528940
4094,social,1099790.0,61838.0,0,0,13407,2926,43.37665883456284,0.026361896990762763,2023-11-18 01:33:26.063897492
7453,information_source,4533606.0,0.0,0,105820,252327,50393,1.3292204411137212,0.0012182635002505673,2020-11-22 17:20:40.168880368
4683,information_source,681829.0,93154.0,0,9406,16708,4014,0.3527103179952223,-0.03288691295247677,2024-08-02 02:05:59.604783648
5190,information_source,118326.0,0.0,0,1062,481,571,7.276005195195655,-0.0591574829694718,2024-09-12 04:12:01.282647788
7071,news,177840.0,427.0,0,1173,510,0,4.561616296794621,-0.05196538769980247,2024-09-18 12:36:52.556064694
9194,social,305904.0,17535.0,0,0,1221,0,13.4995312612498,-0.050964402751176335,2024-08-19 19:18:07.300505113
1079,ecom,10193899.0,0.0,5616848,544529,0,4878,6.680230573461741,0.4697710704719926,2023-10-28 21:41:01.058674656
960,information_source,2049518.0,74998.0,0,0,0,0,1.8342834943564235,0.17964910785183227,2021-10-27 11:09:10.430705472
57,information_source,1616711.0,129523.0,0,45811,35105,8454,1.166561576832636,0.24175127138903962,2019-12-11 17:53:02.306840640
1530,ecom,4604864.0,1837896.0,2595352,101216,51744,11302,1.6599220523493585,0.6124688321532726,2023-04-07 12:41:41.491517912
9153,ecom,13939771.0,9369894.0,3881525,197735,0,3907,0.6917124464657872,0.35844145368858077,2024-05-09 07:07:24.113437616
3527,information_source,2601998.0,0.0,0,218989,117870,NaN,16.31422797557551,-0.053289210782277587,2024-03-01 02:51:53.751584140
9753,ecom,2153714.0,835274.0,0,54409,15667,4580,1.3656288351590722,0.11091727951396593,2024-03-30 05:14:20.639949754
5198,information_source,1731798.0,575720.0,0,119979,0,1060,3.540654907343228,0.48068503610062,2010-05-17 04:44:50.752331008
4633,news,362898.0,3998.0,0,33987,52629,-,0.13166621879628077,0.17594949232388496,2018-09-26 19:29:07.525368032
4511,information_source,681676.0,146199.0,0,11131,5310,1755,8.87055386106484,0.21704439608406992,2023-01-09 20:20:56.331759848
3955,ecom,29051146.0,0.0,28528984,747656,0,8738,2.461999667763455,0.78903621671007,2022-12-19 05:55:38.466790616
6754,information_source,1997060.0,0.0,0,145714,66606,14678,0.7445931413191663,0.07849077372880936,2021-10-07 22:41:24.889626304
1435,information_source,2279876.0,0.0,0,154433,0,159,0.07254193108089486,0.10106225438124151,2023-05-07 15:55:16.469013520
1822,news,59233.0,1721.0,0,5396,0,534,6.839525969137814,0.20131833430084284,2023-03-11 06:08:27.729034352
8156,ecom,8962542.0,0.0,0,570689,47401,15346,1.0550638520312983,0.12860879057545105,2021-08-03 23:56:21.069994560
8787,ecom,7308776.0,475112.0,0,24864,0,2671,4.146861076013242,0.26653112150547587,2021-04-01 04:07:56.726043440
2772,information_source,207796.0,0.0,0,0,3020,0,0.08098451926688509,-0.04494099678834919,2024-07-29 00:25:06.823931554
3993,news,,4860.0,0,3051,679,483,5.947372796057099,-0.025220592906712126,2024-08-29 23:35:22.257943624
3198,ecom,353008.0,187788.0,85391,13637,2026,362,10.478192484568252,0.5414573835775769,2021-03-05 04:33:55.695700048
9562,ecom,13171157.0,1941744.0,0,394426,0,3136,3.2026283174097014,0.2842238775819821,2019-09-21 12:06:14.346876576
6472,information_source,90785.0,170.0,0,509,100,0,4.614665078552455,-0.06298989543893324,2024-09-15 15:14:47.978967842
9310,information_source,166526.0,5837.0,0,1228,0,724,-1.0,-0.022749301073418684,2024-09-01 05:34:12.868675095
5924,information_source,78987.0,4359.0,0,0,1037,1239,4.545664598123093,0.261437634053212,2021-05-08 11:12:55.948334560
8043,information_source,5598494.0,,0,300810,63327,15003,1.3527331060204788,0.16047252686307487,2020-01-31 15:42:29.230299360
9469,information_source,329319.0,0.0,0,19037,3133,820,2.0273134279864418,0.18143232169985124,2022-06-12 20:07:43.288311952
9263,porn,348387.0,59766.0,0,47902,0,766,17.08800875005101,0.3910940289534299,2017-07-06 09:10:42.515330048
7974,information_source,1358481.0,0.0,0,0,0,0,1.3663670252399929,0.2636182525359325,2019-09-06 17:31:13.889245504
4954,information_source,2411330.0,0.0,0,266885,0,2604,8.070556891127062,0.1913103827917557,2021-08-12 05:13:17.787841328
2677,ecom,8000779.0,2165198.0,5556837,73713,281591,56550,0.41390030163962555,0.48384828874021335,2023-08-07 06:36:56.710284984
7469,ecom,10557227.0,2150397.0,6013807,401752,83243,22153,11.672597356533656,0.6755723234849088,2021-11-16 15:19:22.363540864
4598,information_source,519634.0,0.0,0,15811,0,0,1.25513114448195,-0.07885606348095157,2024-05-18 01:54:01.039289028
5324,news,2131005.0,9241.0,0,294478,410599,84778,0.182293475414323,-0.261804682074803,2023-06-17 04:31:51.810896632
9009,information_source,118367.0,11085.0,0,5910,0,1228,2.4043585337697513,0.0401773677803661,2023-12-09 11:14:22.971678320
1694,information_source,1380728.0,1863.0,0,46779,73958,15775,0.3611553516417446,-0.12853503711494335,2024-05-08 04:16:20.102490756
5999,ecom,749207.0,104326.0,149598,6953,3046,365,3.2131115849989587,0.07965561398654673,2024-08-04 13:27:38.317190107
7038,information_source,646492.0,140145.0,0,0,0,0,16.754656799077257,0.21176141664827908,2023-03-07 13:44:03.810023800
5536,information_source,4139528.0,53901.0,0,447152,0,3288,2.843403526310348,0.16636154785292226,2022-07-08 03:26:45.189790768
2499,ecom,2057502.0,0.0,0,55300,8828,3318,32.094866488232405,0.25397959753857446,2022-06-03 20:44:50.302579376
1550,information_source,152854.0,30290.0,0,2683,0,1300,15.116185770905817,0.18933828291487048,2024-01-10 16:34:42.991473304
9569,information_source,1128788.0,77204.0,0,0,88950,18686,0.9315552010082956,0.08284111395925817,2022-09-27 20:31:29.081769720
805,ecom,8322346.0,800280.0,0,180699,0,1592,8.042104347038526,0.31509138988929963,2021-02-18 08:56:14.609931696
3191,news,36369.0,0.0,0,289,0,342,3.7195712486822705,-0.037877456685812015,2024-09-14 18:58:24.840500288
6914,information_source,223191.0,58758.0,0,0,6441,1941,0.129673317543836,0.1035632454017616,2023-06-18 11:08:13.632074432
3782,information_source,227879.0,31817.0,0,1212,5180,1519,14.717875734464549,-0.018940415652595747,2024-08-06 02:51:11.085982101
6888,news,52214.0,5209.0,0,2458,0,219,0.36513978641440115,0.26067406636005613,2020-10-27 12:09:29.178855712
6548,information_source,155929.0,0.0,0,15632,6128,3703,-1.0,0.24418457601569307,2021-05-29 04:27:03.344888992
3207,information_source,,2522.0,0,3517,1667,567,5.640368385899449,-0.11470675002794226,2024-08-10 15:18:38.672590780
5281,information_source,794872.0,187903.0,0,47089,37500,-,10.873792615874132,0.042133131941697814,2024-04-07 16:58:33.745209934
8999,information_source,980193.0,0.0,0,54659,0,1450,2.4270245354767668,0.2615716236354534,2018-09-03 13:45:44.671526336
4636,porn,429493.0,102855.0,0,36224,52743,,44.66484991661158,0.054466873170354126,2023-06-14 03:51:05.124500024
8374,ecom,11567619.0,,0,245225,97613,21685,3.470038823105169,0.014765708182077814,2024-02-05 09:17:43.074661588
581,ecom,3418360.0,1005615.0,2062864,39036,15787,4922,25.04856270963868,0.62343945974641,2023-08-15 11:19:21.093286004
8527,ecom,16840707.0,0.0,4317087,688466,334731,73594,-1.0,0.045570128008839736,2024-02-09 16:36:49.344976132
4692,social,636569.0,86010.0,0,4153,0,631,13.959587505007473,0.15439343625317734,2023-02-14 15:24:15.165295712
7381,information_source,4123815.0,113757.0,0,266792,0,2921,0.7919970818763443,0.017417583356825056,2024-01-18 08:46:13.384051960
8567,ecom,5480747.0,1061317.0,3655529,125883,0,2172,4.518399937387014,0.6263954357723771,2023-11-04 01:24:44.784298848
7780,news,456654.0,22734.0,0,48113,3648,,7.428871765428492,0.3517375881197382,2017-03-23 10:17:18.295396672
